first_name,last_name,email,phone,department,job_title,experience_years,salary
Amanda,Thomas,amandathomas62534@slingacademy.com,001-629-462-1944,Product,DevOps Engineer,14,14000
Samuel,Spencer,samuelspencer63121@slingacademy.com,(025)089-0360,Product,Web Developer,5,8500
Jessica,Ho,jessicaho64167@slingacademy.com,251-289-1532,Product,Mobile Developer,6,9000
Justin,Rhodes,justinrhodes65742@slingacademy.com,001-482-958-2236x124,Human Resource,HR Manager,14,14000
Kim,Hobbs,kimhobbs66159@slingacademy.com,114.830.3568x128,Product,Mobile Developer,10,11000
Allison,Matthews,allisonmatthews67968@slingacademy.com,(394)302-9258,Product,Tester,7,10500
James,Phillips,jamesphillips68644@slingacademy.com,(733)967-0336,Human Resource,HR Manager,15,12500
Philip,Thomas,philipthomas69550@slingacademy.com,592-756-5695x9778,Product,Machine Learning Engineer,13,14500
David,Walker,davidwalker70948@slingacademy.com,+1-173-846-6935x7118,Product,Tester,14,13000
Donald,Lopez,donaldlopez71596@slingacademy.com,597.328.1460,Product,Tester,5,9500
Hannah,House,hannahhouse72251@slingacademy.com,1541376919,Product,Mobile Developer,1,7500
Stephen,Diaz,stephendiaz73743@slingacademy.com,110.987.1187x01990,Product,Web Developer,14,13000
Barbara,Burns,barbaraburns74775@slingacademy.com,001-724-808-4339x05491,Product,Designer,5,10500
Jessica,Cortez,jessicacortez75618@slingacademy.com,768.794.6062,Product,Machine Learning Engineer,8,11000
Daniel,Hernandez,danielhernandez76877@slingacademy.com,+1-653-006-3659,Product,Mobile Developer,4,9000
Eugene,Diaz,eugenediaz77404@slingacademy.com,625.556.6039x715,Product,DevOps Engineer,12,13000
Earl,Nelson,earlnelson78381@slingacademy.com,001-666-637-1061,Product,Web Developer,4,7000
Elizabeth,Jackson,elizabethjackson79993@slingacademy.com,129-182-2223x8234,Product,Machine Learning Engineer,4,10000
John,Martinez,johnmartinez80422@slingacademy.com,001-116-711-6587,Product,Web Developer,9,9500
Tricia,Shaw,triciashaw81242@slingacademy.com,0250878834,Product,Web Developer,10,10000
Michael,Davila,michaeldavila82245@slingacademy.com,9179864827,Product,Web Developer,1,5500
Heidi,Hill,heidihill83731@slingacademy.com,+1-480-021-8701x17016,Product,DevOps Engineer,9,12500
Yvonne,Bass,yvonnebass84561@slingacademy.com,+1-872-139-6739x9455,Product,Mobile Developer,12,12000
James,Jones,jamesjones85233@slingacademy.com,001-039-712-8015,Product,Tester,15,13500
Brady,Washington,bradywashington86983@slingacademy.com,(720)496-1780x5033,Product,DevOps Engineer,7,10500
Michael,Rivera,michaelrivera87445@slingacademy.com,243-399-1129,Product,Web Developer,15,13500
Angela,Morales,angelamorales88984@slingacademy.com,(340)684-6223x44918,Product,Machine Learning Engineer,15,15500
Larry,Moore,larrymoore89350@slingacademy.com,320.169.9790x514,Product,Machine Learning Engineer,4,10000
William,Oliver,williamoliver90297@slingacademy.com,629-088-9248x536,Product,Machine Learning Engineer,4,10000
Clayton,Smith,claytonsmith91135@slingacademy.com,8318062400,Product,Mobile Developer,6,10000
Thomas,Randall,thomasrandall92365@slingacademy.com,001-483-384-8547x78248,Product,Mobile Developer,14,14000
Amy,Vaughn,amyvaughn93806@slingacademy.com,542.795.3600x28212,Product,Designer,8,11000
Larry,Chapman,larrychapman94987@slingacademy.com,001-539-747-0649,Product,Machine Learning Engineer,2,8000
Eugene,Mcintyre,eugenemcintyre95732@slingacademy.com,481-160-8125,Product,Designer,9,9500
Patricia,Suarez,patriciasuarez96157@slingacademy.com,(674)788-1168x659,Product,Machine Learning Engineer,12,12000
Michael,Vasquez,michaelvasquez97570@slingacademy.com,490-884-4764,Product,Web Developer,3,6500
Stephanie,Hodges,stephaniehodges98474@slingacademy.com,001-651-909-2654x62888,Product,Web Developer,14,13000
Ashley,Watkins,ashleywatkins99733@slingacademy.com,2648820032,Product,Machine Learning Engineer,1,8500
Yolanda,Ellis,yolandaellis100435@slingacademy.com,+1-485-616-5391x8807,Product,Tester,14,14000
Margaret,Maxwell,margaretmaxwell101973@slingacademy.com,137-430-7223,Product,DevOps Engineer,6,10000
Jill,Farmer,jillfarmer102650@slingacademy.com,0571661198,Product,Designer,3,8500
Robert,Park,robertpark103408@slingacademy.com,498-878-6219,Product,Mobile Developer,8,10000
Jeffrey,Park,jeffreypark104773@slingacademy.com,874-348-4705,Product,Machine Learning Engineer,8,10000
Lacey,Bender,laceybender105454@slingacademy.com,001-243-891-5674x423,Product,Mobile Developer,11,12500
Amanda,Silva,amandasilva106678@slingacademy.com,3782883279,Product,Mobile Developer,7,8500
John,Escobar,johnescobar107702@slingacademy.com,661.598.4267x044,Product,DevOps Engineer,9,12500
Scott,Woods,scottwoods108925@slingacademy.com,(084)639-6565x41150,Product,Machine Learning Engineer,13,11500
Beth,Solis,bethsolis109189@slingacademy.com,+1-654-849-0805x279,Product,Designer,15,14500
Natasha,Johnson,natashajohnson110884@slingacademy.com,+1-538-767-6692x1656,Product,DevOps Engineer,1,9500
Nathan,Oconnor,nathanoconnor111555@slingacademy.com,189.488.8815x56036,Product,Tester,1,5500
Felicia,Fox,feliciafox112543@slingacademy.com,001-231-826-1761x9193,Product,DevOps Engineer,2,8000
Paul,Davis,pauldavis113585@slingacademy.com,+1-352-114-7038x011,Product,Mobile Developer,14,14000
Hannah,Kirk,hannahkirk114686@slingacademy.com,(622)794-0249x585,Product,Tester,12,12000
Ashley,Carrillo,ashleycarrillo115254@slingacademy.com,001-097-500-5888,Product,Mobile Developer,10,10000
Anna,White,annawhite116266@slingacademy.com,+1-197-659-8290x36913,Product,Web Developer,14,14000
Kimberly,Miles,kimberlymiles117171@slingacademy.com,+1-810-231-0550,Product,Mobile Developer,11,11500
Gabriel,Shannon,gabrielshannon118302@slingacademy.com,001-435-888-3180x25244,Product,Tester,15,14500
Charles,Chan,charleschan119853@slingacademy.com,077-570-4283,Product,Tester,5,9500
Steven,Hill,stevenhill120389@slingacademy.com,(765)304-0263x230,Product,Designer,6,11000
Brian,Kelly,briankelly121627@slingacademy.com,+1-029-019-2206x665,Product,Designer,5,9500
Thomas,Lopez,thomaslopez122447@slingacademy.com,573-472-7131,Product,DevOps Engineer,3,8500
Lisa,Edwards,lisaedwards123575@slingacademy.com,536.588.4331,Product,DevOps Engineer,15,14500
Sarah,Young,sarahyoung124710@slingacademy.com,001-105-720-6802x583,Product,Designer,1,5500
Rebecca,Crawford,rebeccacrawford125255@slingacademy.com,(450)663-6253x153,Product,Tester,9,10500
Kevin,Sullivan,kevinsullivan126732@slingacademy.com,161.488.4614x1551,Product,Designer,12,15000
Amanda,Carey,amandacarey127761@slingacademy.com,4267904671,Product,Tester,12,11000
Rachel,Sawyer,rachelsawyer128897@slingacademy.com,(485)441-3528,Product,DevOps Engineer,13,14500
Garrett,Nguyen,garrettnguyen129742@slingacademy.com,+1-370-218-5389x8154,Product,Mobile Developer,4,8000
Chelsea,Zuniga,chelseazuniga130347@slingacademy.com,911.596.7824x40746,Product,Mobile Developer,14,14000
James,Johnson,jamesjohnson131587@slingacademy.com,358.400.3210,Product,DevOps Engineer,9,13500
James,Ruiz,jamesruiz132283@slingacademy.com,001-015-657-5863x0258,Product,Mobile Developer,3,8500
Brandi,Evans,brandievans133981@slingacademy.com,(388)123-2730x36223,Product,Mobile Developer,8,11000
Jennifer,Obrien,jenniferobrien134396@slingacademy.com,001-576-701-2547,Product,Web Developer,13,13500
Whitney,Espinoza,whitneyespinoza135463@slingacademy.com,(395)465-0024x542,Product,Mobile Developer,5,7500
Brandon,Rosario,brandonrosario136262@slingacademy.com,5804460236,Product,Tester,14,13000
Jason,Rhodes,jasonrhodes137652@slingacademy.com,+1-182-210-6837x27845,Product,DevOps Engineer,7,11500
Jesse,Michael,jessemichael138774@slingacademy.com,(372)150-9511,Product,Web Developer,9,10500
James,Knight,jamesknight139805@slingacademy.com,325.002.8388x1091,Product,DevOps Engineer,7,12500
Michelle,Ramirez,michelleramirez140860@slingacademy.com,923.789.8867x807,Product,Machine Learning Engineer,10,12000
Peter,Mercado,petermercado141743@slingacademy.com,890-585-7726x64628,Product,DevOps Engineer,4,9000
Jason,George,jasongeorge142280@slingacademy.com,001-431-125-6069,Product,Mobile Developer,3,6500
Katherine,Arroyo,katherinearroyo143289@slingacademy.com,6849186207,Product,Machine Learning Engineer,8,12000
Ashley,Mccann,ashleymccann144205@slingacademy.com,001-197-825-7624x4162,Product,Mobile Developer,12,13000
Katherine,Robinson,katherinerobinson145289@slingacademy.com,(200)221-4696,Product,Machine Learning Engineer,5,9500
Michael,Clark,michaelclark146499@slingacademy.com,(726)898-3126x779,Product,DevOps Engineer,5,10500
Julia,Howe,juliahowe147906@slingacademy.com,270-885-8330x203,Product,Mobile Developer,8,11000
Karen,Roy,karenroy148650@slingacademy.com,001-579-003-5317x80657,Product,Mobile Developer,1,7500
Nicole,Nguyen,nicolenguyen149314@slingacademy.com,(601)907-3624x42015,Product,Tester,7,8500
Chelsea,Lewis,chelsealewis150296@slingacademy.com,406-096-8891x1387,Product,Web Developer,12,13000
Austin,Bell,austinbell151200@slingacademy.com,819-364-7742x938,Product,Web Developer,13,11500
Paul,Allen,paulallen152129@slingacademy.com,2104766565,Product,Mobile Developer,14,12000
Felicia,Oliver,feliciaoliver153838@slingacademy.com,001-307-413-8100,Product,Tester,7,10500
Diana,Bowers,dianabowers154941@slingacademy.com,(472)461-2314,Product,DevOps Engineer,10,14000
Cody,Peters,codypeters155175@slingacademy.com,+1-538-563-4682x108,Product,Tester,7,8500
Bethany,Gonzalez,bethanygonzalez156478@slingacademy.com,001-671-656-9205,Product,DevOps Engineer,9,13500
Shane,Benson,shanebenson157228@slingacademy.com,001-433-182-3042x4134,Product,Web Developer,8,10000
Jacqueline,Brooks,jacquelinebrooks158705@slingacademy.com,803-716-9920,Product,DevOps Engineer,5,9500
Vanessa,Turner,vanessaturner159112@slingacademy.com,611.777.0181,Product,Web Developer,2,8000
Lisa,Logan,lisalogan160514@slingacademy.com,631.001.6670x895,Product,Mobile Developer,3,7500
Jessica,Jones,jessicajones161720@slingacademy.com,001-510-870-8941x9602,Product,Mobile Developer,3,8500
Sarah,Li,sarahli162806@slingacademy.com,001-609-806-7966x06117,Product,Mobile Developer,4,7000
Brenda,Roberson,brendaroberson163933@slingacademy.com,001-589-932-4079,Product,Web Developer,7,9500
Brett,Hernandez,bretthernandez164285@slingacademy.com,502-552-5808,Product,DevOps Engineer,8,12000
Wanda,Forbes,wandaforbes165726@slingacademy.com,666-855-7253x02322,Product,DevOps Engineer,8,13000
Elizabeth,Cortez,elizabethcortez166121@slingacademy.com,675.301.0657x798,Product,Web Developer,11,12500
Sean,Smith,seansmith167370@slingacademy.com,(485)519-9948x286,Product,Web Developer,13,12500
Shawn,Oliver,shawnoliver168229@slingacademy.com,(104)702-6330,Product,Web Developer,1,5500
Eric,Moses,ericmoses169919@slingacademy.com,+1-443-662-4948x52464,Product,DevOps Engineer,3,9500
Jeanette,Ruiz,jeanetteruiz170586@slingacademy.com,001-589-861-6693x6009,Product,Web Developer,4,7000
John,Barber,johnbarber171149@slingacademy.com,600.551.1953x989,Product,Mobile Developer,9,11500
Caleb,Mcpherson,calebmcpherson172782@slingacademy.com,+1-373-821-4858x946,Product,Web Developer,7,9500
Nicole,Aguilar,nicoleaguilar173533@slingacademy.com,(114)183-5226x2535,Product,Web Developer,9,11500
Michael,Lee,michaellee174890@slingacademy.com,262-107-4732,Product,Web Developer,2,7000
Brett,Cochran,brettcochran175230@slingacademy.com,+1-248-824-7621,Product,Mobile Developer,14,13000
Manuel,Carpenter,manuelcarpenter176804@slingacademy.com,9008123667,Product,Web Developer,1,5500
John,Wilson,johnwilson177384@slingacademy.com,+1-671-886-0776x042,Product,DevOps Engineer,4,9000
Martin,Crawford,martincrawford178676@slingacademy.com,001-938-266-9979x463,Product,Web Developer,7,9500
Daniel,Peterson,danielpeterson179429@slingacademy.com,240.063.9329x8093,Product,Mobile Developer,10,10000
Emily,Lambert,emilylambert180288@slingacademy.com,710-838-5229,Product,Web Developer,10,12000
Marcia,Huerta,marciahuerta181481@slingacademy.com,001-611-947-0019x85361,Product,Mobile Developer,11,11500
Jason,Ortiz,jasonortiz182684@slingacademy.com,+1-614-334-4322x00332,Product,Web Developer,1,7500
Lacey,Thomas,laceythomas183301@slingacademy.com,001-214-721-0561x945,Product,Web Developer,4,7000
Sarah,Freeman,sarahfreeman184184@slingacademy.com,786.837.6975x132,Product,Mobile Developer,3,8500
Michael,Galvan,michaelgalvan185193@slingacademy.com,+1-122-284-2113,Product,Web Developer,11,10500
Melissa,Warner,melissawarner186807@slingacademy.com,790-287-4075,Product,Mobile Developer,7,10500
Larry,Thompson,larrythompson187441@slingacademy.com,001-227-811-0040x004,Product,Mobile Developer,13,13500
Janice,Miller,janicemiller188354@slingacademy.com,(124)599-3895x76772,Product,DevOps Engineer,4,11000
Jasmine,Steele,jasminesteele189528@slingacademy.com,839-171-3582x4182,Product,DevOps Engineer,8,11000
Joseph,Beck,josephbeck190391@slingacademy.com,+1-621-014-2831x0646,Product,Mobile Developer,5,7500
Tracy,Cohen,tracycohen191613@slingacademy.com,(304)813-7854x1708,Product,DevOps Engineer,15,16500
Bryan,Reilly,bryanreilly192644@slingacademy.com,607.511.9983x28152,Product,Mobile Developer,3,8500
Zachary,Smith,zacharysmith193685@slingacademy.com,(407)091-5393x213,Product,DevOps Engineer,1,9500
Jon,Leblanc,jonleblanc194743@slingacademy.com,401-896-0371x40763,Product,Web Developer,8,9000
Christina,Garza,christinagarza195368@slingacademy.com,273-987-3115,Product,Web Developer,12,11000
Jason,Jarvis,jasonjarvis196518@slingacademy.com,063-012-6389x05736,Product,Web Developer,10,10000
Jesse,Smith,jessesmith197985@slingacademy.com,+1-701-460-3317x90916,Product,DevOps Engineer,2,9000
Melissa,Richardson,melissarichardson198853@slingacademy.com,001-296-935-6456x91442,Product,Mobile Developer,7,8500
Michele,Stewart,michelestewart199290@slingacademy.com,944.042.1529,Product,Mobile Developer,13,12500
Jill,Gilbert,jillgilbert200959@slingacademy.com,970-269-2119x437,Product,DevOps Engineer,14,14000
Kevin,Valentine,kevinvalentine201334@slingacademy.com,+1-399-375-1890x40884,Product,Web Developer,9,9500
Thomas,Hurst,thomashurst202903@slingacademy.com,2176055492,Product,Mobile Developer,3,7500
Janet,Stephens,janetstephens203291@slingacademy.com,696-753-3875,Product,Web Developer,10,11000
Megan,Hoover,meganhoover204258@slingacademy.com,(791)222-1972x3424,Product,Web Developer,8,10000
Susan,Jones,susanjones205164@slingacademy.com,905.333.2209x0122,Product,Web Developer,11,10500
Breanna,Love,breannalove206450@slingacademy.com,(251)970-0774x9187,Product,Web Developer,11,12500
Elijah,Mcguire,elijahmcguire207554@slingacademy.com,430.390.1485x7262,Product,Mobile Developer,2,7000
Philip,Bell,philipbell208998@slingacademy.com,930-636-6697x67326,Product,Web Developer,6,8000
Kevin,Logan,kevinlogan209795@slingacademy.com,001-449-766-2057,Product,Web Developer,11,11500
Erin,Watson,erinwatson210121@slingacademy.com,001-099-534-3868x24842,Product,Mobile Developer,15,12500
Austin,Miller,austinmiller211536@slingacademy.com,(902)165-6805,Product,Web Developer,2,8000
Sonya,Anderson,sonyaanderson212407@slingacademy.com,730-398-8945,Product,Mobile Developer,9,9500
Francisco,Montgomery,franciscomontgomery213734@slingacademy.com,(412)713-8016x79949,Product,Mobile Developer,1,5500
Michelle,Olson,michelleolson214829@slingacademy.com,+1-352-025-4146x308,Product,Web Developer,7,8500
Brenda,Leonard,brendaleonard215769@slingacademy.com,(451)560-3184x350,Product,Web Developer,5,9500
Ross,Scott,rossscott216231@slingacademy.com,420.609.2090,Product,Mobile Developer,4,7000
Terry,Jackson,terryjackson217103@slingacademy.com,(217)802-5632x0440,Product,Web Developer,7,10500
John,Palmer,johnpalmer218467@slingacademy.com,(206)349-1934x449,Product,Web Developer,4,7000
Brenda,Tapia,brendatapia219700@slingacademy.com,989-757-9111,Product,Web Developer,3,6500
Donald,Gordon,donaldgordon220435@slingacademy.com,004.508.2105,Product,Mobile Developer,12,13000
Danielle,Long,daniellelong221167@slingacademy.com,095.663.3357,Product,Mobile Developer,12,11000
Michael,Pratt,michaelpratt222722@slingacademy.com,001-149-139-6964,Product,Mobile Developer,14,12000
Jeffrey,West,jeffreywest223814@slingacademy.com,140.721.9576x9819,Product,Mobile Developer,2,7000
Danielle,Jennings,daniellejennings224357@slingacademy.com,313.810.6293x369,Product,Mobile Developer,12,11000
Alex,Perry,alexperry225459@slingacademy.com,311-298-4100,Product,Web Developer,1,5500
John,Marsh,johnmarsh226221@slingacademy.com,001-710-599-6824x74838,Product,Web Developer,12,13000
Richard,Holder,richardholder227402@slingacademy.com,+1-977-600-1087x6268,Product,Mobile Developer,1,7500
Ryan,Ponce,ryanponce228238@slingacademy.com,5497597305,Product,Mobile Developer,13,12500
Dorothy,Riley,dorothyriley229310@slingacademy.com,+1-976-524-6785,Product,Mobile Developer,1,7500
Yvette,Scott,yvettescott230489@slingacademy.com,543-674-1419x7292,Product,Mobile Developer,11,11500
Kenneth,Nelson,kennethnelson231147@slingacademy.com,947.820.6507x32405,Product,Web Developer,15,14500
Edgar,Lane,edgarlane232749@slingacademy.com,5537213761,Product,Web Developer,7,10500
Jeremy,Cox,jeremycox233376@slingacademy.com,+1-155-126-0581x524,Product,Web Developer,13,13500
Robert,Hernandez,roberthernandez234672@slingacademy.com,767-860-5296,Product,Mobile Developer,7,10500
Brian,Gilbert,briangilbert235994@slingacademy.com,+1-414-913-8588x9103,Product,Web Developer,9,10500
Sherri,Shaw,sherrishaw236714@slingacademy.com,919-763-5353,Product,Mobile Developer,6,10000
Sarah,Davis,sarahdavis237584@slingacademy.com,(778)856-1719x931,Product,Web Developer,1,5500
Kristin,Bradley,kristinbradley238778@slingacademy.com,(402)457-2111,Product,Web Developer,2,6000
Brooke,Drake,brookedrake239487@slingacademy.com,659-857-8858,Product,Mobile Developer,9,11500
Kristina,Clark,kristinaclark240837@slingacademy.com,094.521.1972x38513,Product,Mobile Developer,14,13000
Scott,Owens,scottowens241396@slingacademy.com,487.884.3426x95702,Product,Mobile Developer,9,9500
Robert,Nelson,robertnelson242936@slingacademy.com,+1-319-257-8912x87517,Product,Web Developer,13,12500
Erin,Green,eringreen243342@slingacademy.com,765-014-8238x735,Product,Mobile Developer,6,8000
Paul,Page,paulpage244406@slingacademy.com,001-548-349-5980x11429,Product,Mobile Developer,15,12500
Jamie,Ball,jamieball245269@slingacademy.com,001-521-608-0441,Product,Mobile Developer,8,9000
Sonya,Williams,sonyawilliams246273@slingacademy.com,001-534-324-6100x2516,Product,Mobile Developer,8,9000
Leslie,Burton,leslieburton247848@slingacademy.com,279-096-0603,Product,Mobile Developer,4,8000
Daniel,Joseph,danieljoseph248248@slingacademy.com,101-113-1630x442,Product,Web Developer,1,6500
John,Grimes,johngrimes249952@slingacademy.com,671-825-5709,Product,Mobile Developer,4,7000
Melissa,Davis,melissadavis250431@slingacademy.com,771.340.7743x808,Product,Web Developer,9,10500
Sierra,Hoover,sierrahoover251989@slingacademy.com,001-012-427-6550,Product,Mobile Developer,6,9000
Damon,Sanders,damonsanders252842@slingacademy.com,0176247153,Product,Mobile Developer,3,8500
Adam,Pratt,adampratt253430@slingacademy.com,829.922.4683,Product,Web Developer,15,14500
Jesse,Gonzalez,jessegonzalez254466@slingacademy.com,853.691.9747,Product,Mobile Developer,5,9500
Debra,Cruz,debracruz255561@slingacademy.com,481.706.7985x840,Product,Mobile Developer,3,6500
Gregory,Smith,gregorysmith256659@slingacademy.com,+1-044-346-7655x68675,Product,Mobile Developer,11,11500
Patrick,Cook,patrickcook257408@slingacademy.com,975-551-0070,Product,Mobile Developer,12,11000
Robert,Weber,robertweber258431@slingacademy.com,018.297.6175x4163,Product,Mobile Developer,10,10000
Christopher,Thompson,christopherthompson259741@slingacademy.com,(850)197-6611,Product,Web Developer,3,6500
Maureen,Campbell,maureencampbell260141@slingacademy.com,168-469-7587,Product,Web Developer,1,7500
Alex,Brown,alexbrown261126@slingacademy.com,259.588.0503x6257,Product,Mobile Developer,10,10000
Breanna,Allen,breannaallen262640@slingacademy.com,+1-160-924-8899x786,Product,Web Developer,8,9000
Michael,Pearson,michaelpearson263103@slingacademy.com,8006107617,Product,Mobile Developer,9,10500
Cheryl,Lewis,cheryllewis264673@slingacademy.com,(806)267-8045,Product,Web Developer,8,11000
Michael,Brown,michaelbrown265799@slingacademy.com,596-551-1329,Product,Mobile Developer,13,12500
Linda,Haynes,lindahaynes266810@slingacademy.com,331-850-1266x1106,Product,Mobile Developer,10,12000
Jonathan,Palmer,jonathanpalmer267693@slingacademy.com,(616)797-1560x17533,Product,Mobile Developer,13,13500
Tammy,Ball,tammyball268344@slingacademy.com,8439547062,Product,Web Developer,7,8500
Sarah,Reed,sarahreed269446@slingacademy.com,001-177-232-8430x261,Product,Web Developer,2,7000
Emily,Page,emilypage270576@slingacademy.com,+1-859-269-6655,Product,Mobile Developer,4,9000
Tristan,Price,tristanprice271704@slingacademy.com,001-369-038-1224,Product,Mobile Developer,3,7500
Patrick,Skinner,patrickskinner272521@slingacademy.com,+1-655-446-8826x40636,Product,Web Developer,15,13500
Nicole,Castro,nicolecastro273650@slingacademy.com,(185)855-4760x61049,Product,Web Developer,9,10500
